conversation_id,source_id,external_thread_id,conversation_title,channel_or_mailbox,project_name,department_id,conversation_start_ts,last_activity_ts,conversation_status,sensitivity_label
C0033,S005,JIR-20260033,Security remediation stand-up - Revenue Forecast Automation,Jira,Revenue Forecast Automation,D001,2026-03-10 13:00:00,2026-03-18 15:00:00,Resolved,Internal
C0034,S006,SAL-20260034,Renewal risk review - Identity Access Cleanup,Salesforce,Identity Access Cleanup,D004,2026-03-12 14:00:00,2026-03-16 23:00:00,Dormant,Internal
C0035,S007,SER-20260035,Executive action review - Employee Listening Initiative,ServiceNow,Employee Listening Initiative,D007,2026-03-14 15:00:00,2026-03-16 05:00:00,Dormant,Internal
C0036,S001,SLA-20260036,Operational handoff - Cloud Cost Optimization,#product-delivery,Cloud Cost Optimization,D002,2026-03-16 09:00:00,2026-03-17 00:00:00,Open,Confidential
C0037,S002,MIC-20260037,Release readiness sync - Orion Release 4.2,#eng-release,Orion Release 4.2,D005,2026-03-18 10:00:00,2026-03-20 05:00:00,Open,Confidential
C0038,S003,GMA-20260038,Customer escalation review - Customer 360 Migration,Gmail,Customer 360 Migration,D008,2026-03-20 11:00:00,2026-03-21 06:00:00,Resolved,Internal
C0039,S004,ZOO-20260039,Contract approval follow-up - Q3 Pricing Refresh,Zoom,Q3 Pricing Refresh,D003,2026-03-22 12:00:00,2026-03-27 14:00:00,Resolved,Internal
C0040,S005,JIR-20260040,Weekly product triage - Atlas Data Quality,Jira,Atlas Data Quality,D006,2026-03-24 13:00:00,2026-04-02 20:00:00,Dormant,Confidential
C0041,S006,SAL-20260041,Data pipeline incident - Nova Mobile Launch,Salesforce,Nova Mobile Launch,D001,2026-03-26 14:00:00,2026-03-27 22:00:00,Resolved,Internal
C0042,S007,SER-20260042,Quarterly planning discussion - Vendor Risk Remediation,ServiceNow,Vendor Risk Remediation,D004,2026-03-28 15:00:00,2026-03-31 14:00:00,Resolved,Confidential
C0043,S001,SLA-20260043,Implementation status check - Global Contract Renewal,#product-delivery,Global Contract Renewal,D007,2026-03-30 09:00:00,2026-04-02 15:00:00,Open,Internal
C0044,S002,MIC-20260044,Pricing exception request - Support Deflection Program,#eng-release,Support Deflection Program,D002,2026-04-01 10:00:00,2026-04-09 05:00:00,Resolved,Confidential
C0045,S003,GMA-20260045,Security remediation stand-up - Revenue Forecast Automation,Gmail,Revenue Forecast Automation,D005,2026-04-03 11:00:00,2026-04-08 22:00:00,Open,Confidential
C0046,S004,ZOO-20260046,Renewal risk review - Identity Access Cleanup,Zoom,Identity Access Cleanup,D008,2026-04-05 12:00:00,2026-04-06 18:00:00,Resolved,Confidential
C0047,S005,JIR-20260047,Executive action review - Employee Listening Initiative,Jira,Employee Listening Initiative,D003,2026-04-07 13:00:00,2026-04-14 11:00:00,Open,Internal
C0048,S006,SAL-20260048,Operational handoff - Cloud Cost Optimization,Salesforce,Cloud Cost Optimization,D006,2026-04-09 14:00:00,2026-04-13 16:00:00,Open,Confidential
C0049,S007,SER-20260049,Release readiness sync - Orion Release 4.2,ServiceNow,Orion Release 4.2,D001,2026-04-11 15:00:00,2026-04-20 01:00:00,Resolved,Confidential
C0050,S001,SLA-20260050,Customer escalation review - Customer 360 Migration,#product-delivery,Customer 360 Migration,D004,2026-04-13 09:00:00,2026-04-19 21:00:00,Dormant,Internal
C0051,S002,MIC-20260051,Contract approval follow-up - Q3 Pricing Refresh,#eng-release,Q3 Pricing Refresh,D007,2026-04-15 10:00:00,2026-04-25 10:00:00,Open,Internal
C0052,S003,GMA-20260052,Weekly product triage - Atlas Data Quality,Gmail,Atlas Data Quality,D002,2026-04-17 11:00:00,2026-04-26 04:00:00,Dormant,Internal
C0053,S004,ZOO-20260053,Data pipeline incident - Nova Mobile Launch,Zoom,Nova Mobile Launch,D005,2026-04-19 12:00:00,2026-04-28 23:00:00,Open,Internal
C0054,S005,JIR-20260054,Quarterly planning discussion - Vendor Risk Remediation,Jira,Vendor Risk Remediation,D008,2026-04-21 13:00:00,2026-04-29 11:00:00,Open,Internal
C0055,S006,SAL-20260055,Implementation status check - Global Contract Renewal,Salesforce,Global Contract Renewal,D003,2026-04-23 14:00:00,2026-05-01 19:00:00,Open,Internal
C0056,S007,SER-20260056,Pricing exception request - Support Deflection Program,ServiceNow,Support Deflection Program,D006,2026-04-25 15:00:00,2026-05-02 18:00:00,Open,Internal
C0057,S001,SLA-20260057,Security remediation stand-up - Revenue Forecast Automation,#product-delivery,Revenue Forecast Automation,D001,2026-04-27 09:00:00,2026-04-30 07:00:00,Resolved,Internal
C0058,S002,MIC-20260058,Renewal risk review - Identity Access Cleanup,#eng-release,Identity Access Cleanup,D004,2026-04-29 10:00:00,2026-05-01 19:00:00,Resolved,Confidential
C0059,S003,GMA-20260059,Executive action review - Employee Listening Initiative,Gmail,Employee Listening Initiative,D007,2026-05-01 11:00:00,2026-05-08 22:00:00,Resolved,Internal
C0060,S004,ZOO-20260060,Operational handoff - Cloud Cost Optimization,Zoom,Cloud Cost Optimization,D002,2026-05-03 12:00:00,2026-05-10 18:00:00,Open,Internal
