promise_id,message_id,conversation_id,promise_text,promise_type,owner_employee_id,owner_department_id,created_ts,due_ts,completed_ts,current_status,priority,ai_confidence_score,risk_score,sla_hours,is_human_confirmed,duplicate_group_id
P00014,M00144,C0024,No action is required until finance validates the forecast.,Dependency,E029,D005,2026-02-21 19:00:00,2026-02-28 19:00:00,2026-03-02 14:00:00,Fulfilled,Critical,0.823,0.084,120,1,
P00015,M00155,C0035,The customer expects an update by end of day.,Deliverable,E034,D002,2026-03-14 21:00:00,2026-03-17 21:00:00,2026-03-18 16:00:00,Fulfilled,High,0.95,0.652,96,1,
P00016,M00166,C0046,Please escalate if there is no response within 48 hours.,Decision,E039,D007,2026-04-06 01:00:00,2026-04-10 01:00:00,2026-04-11 16:00:00,Fulfilled,Medium,0.936,0.619,96,1,
P00017,M00177,C0057,We need to reassign this because the current owner is on leave.,Approval,E004,D004,2026-04-28 08:00:00,2026-05-02 08:00:00,2026-05-03 09:00:00,Fulfilled,Low,0.851,0.313,48,1,
P00018,M00008,C0008,I completed the draft and attached it for review.,Follow-up,E009,D001,2026-01-20 13:00:00,2026-01-27 13:00:00,,Overdue,Critical,0.829,0.349,72,1,
P00019,M00019,C0019,The dependency is still blocked by vendor access.,Investigation,E014,D006,2026-02-10 13:00:00,2026-02-14 13:00:00,,Reassigned,High,0.985,0.4,72,1,
P00020,M00030,C0030,Can you confirm the owner and close the open action?,Customer Update,E019,D003,2026-03-04 21:00:00,2026-03-08 21:00:00,,Overdue,Medium,0.899,0.3,48,1,
P00021,M00041,C0041,We will circle back next week with a decision.,Dependency,E024,D008,2026-03-27 09:00:00,2026-03-31 09:00:00,2026-04-01 14:00:00,Fulfilled,Low,0.769,0.236,72,1,
P00022,M00052,C0052,I will get legal approval before Wednesday.,Deliverable,E029,D005,2026-04-18 12:00:00,2026-04-21 12:00:00,2026-04-21 23:00:00,Fulfilled,Critical,0.811,0.608,120,0,
P00023,M00063,C0003,Let's revisit this after the security release.,Decision,E034,D002,2026-01-10 21:00:00,2026-01-13 21:00:00,,Overdue,High,0.945,0.401,96,1,
P00024,M00074,C0014,Engineering will complete the fix in the next sprint.,Approval,E039,D007,2026-01-31 19:00:00,2026-02-01 19:00:00,2026-02-03 10:00:00,Fulfilled,Medium,0.734,0.651,96,0,
P00025,M00085,C0025,I will send the revised analysis by July 31.,Follow-up,E004,D004,2026-02-23 01:00:00,2026-02-25 01:00:00,,Overdue,Low,0.931,0.641,48,1,
P00026,M00096,C0036,No action is required until finance validates the forecast.,Investigation,E009,D001,2026-03-17 07:00:00,2026-03-27 07:00:00,2026-03-27 08:00:00,Fulfilled,Critical,0.774,0.092,72,1,DG002
P00027,M00107,C0047,The customer expects an update by end of day.,Customer Update,E014,D006,2026-04-08 17:00:00,2026-04-10 17:00:00,2026-04-11 23:00:00,Fulfilled,High,0.901,0.418,72,1,DG002
P00028,M00118,C0058,Please escalate if there is no response within 48 hours.,Dependency,E019,D003,2026-04-29 12:00:00,2026-05-01 12:00:00,2026-05-01 14:00:00,Fulfilled,Medium,0.927,0.181,48,1,
P00029,M00129,C0009,We need to reassign this because the current owner is on leave.,Deliverable,E024,D008,2026-01-21 18:00:00,2026-01-26 18:00:00,,Reassigned,Low,0.914,0.547,72,1,
P00030,M00140,C0020,I completed the draft and attached it for review.,Decision,E029,D005,2026-02-13 09:00:00,2026-02-15 09:00:00,,Reassigned,Critical,0.749,0.095,120,0,
P00031,M00151,C0031,The dependency is still blocked by vendor access.,Approval,E034,D002,2026-03-07 13:00:00,2026-03-10 13:00:00,2026-03-11 07:00:00,Fulfilled,High,0.827,0.509,96,1,
P00032,M00162,C0042,Can you confirm the owner and close the open action?,Follow-up,E039,D007,2026-03-30 01:00:00,2026-03-31 01:00:00,,Overdue,Medium,0.944,0.396,96,1,
P00033,M00173,C0053,We will circle back next week with a decision.,Investigation,E004,D004,2026-04-19 17:00:00,2026-04-26 17:00:00,,Overdue,Low,0.95,0.61,48,1,
P00034,M00004,C0004,I will get legal approval before end of week.,Customer Update,E009,D001,2026-01-12 00:00:00,2026-01-13 00:00:00,,Escalated,Critical,0.873,0.275,72,1,
P00035,M00015,C0015,Let's revisit this after the production release.,Dependency,E014,D006,2026-02-03 06:00:00,2026-02-08 06:00:00,2026-02-08 23:00:00,Fulfilled,High,0.739,0.469,72,0,
P00036,M00026,C0026,Engineering will complete the fix in the next sprint.,Deliverable,E019,D003,2026-02-25 19:00:00,2026-02-26 19:00:00,,Escalated,Medium,0.942,0.313,48,1,
P00037,M00037,C0037,I will send the revised analysis by Wednesday.,Decision,E024,D008,2026-03-18 13:00:00,2026-03-21 13:00:00,,Overdue,Low,0.944,0.674,72,1,
P00038,M00048,C0048,No action is required until finance validates the forecast.,Approval,E029,D005,2026-04-09 22:00:00,2026-04-13 22:00:00,2026-04-15 10:00:00,Fulfilled,Critical,0.981,0.242,120,1,
P00039,M00059,C0059,The customer expects an update by end of day.,Follow-up,E034,D002,2026-05-02 03:00:00,2026-05-12 03:00:00,,Reassigned,High,0.929,0.359,96,1,
P00040,M00070,C0010,Please escalate if there is no response within 48 hours.,Investigation,E039,D007,2026-01-24 11:00:00,2026-02-03 11:00:00,,Overdue,Medium,0.792,0.761,96,0,
P00041,M00081,C0021,We need to reassign this because the current owner is on leave.,Customer Update,E004,D004,2026-02-15 23:00:00,2026-02-25 23:00:00,,Reassigned,Low,0.795,0.35,48,1,
P00042,M00092,C0032,I completed the draft and attached it for review.,Dependency,E009,D001,2026-03-08 19:00:00,2026-03-18 19:00:00,2026-03-20 19:00:00,Fulfilled,Critical,0.9,0.282,72,1,
P00043,M00103,C0043,The dependency is still blocked by vendor access.,Deliverable,E014,D006,2026-03-30 23:00:00,2026-04-03 23:00:00,,Escalated,High,0.769,0.377,72,0,
P00044,M00114,C0054,Can you confirm the owner and close the open action?,Decision,E019,D003,2026-04-22 10:00:00,2026-05-02 10:00:00,2026-05-02 15:00:00,Fulfilled,Medium,0.958,0.501,48,1,
P00045,M00125,C0005,We will circle back next week with a decision.,Approval,E024,D008,2026-01-14 18:00:00,2026-01-17 18:00:00,2026-01-19 06:00:00,Fulfilled,Low,0.976,0.131,72,1,
P00046,M00136,C0016,I will get legal approval before Tuesday.,Follow-up,E029,D005,2026-02-04 10:00:00,2026-02-11 10:00:00,2026-02-13 03:00:00,Fulfilled,Critical,0.925,0.494,120,1,
P00047,M00147,C0027,Let's revisit this after the pilot release.,Investigation,E034,D002,2026-02-27 01:00:00,2026-03-06 01:00:00,,Overdue,High,0.841,0.26,96,1,
P00048,M00158,C0038,Engineering will complete the fix in the next sprint.,Customer Update,E039,D007,2026-03-21 06:00:00,2026-03-24 06:00:00,2026-03-24 07:00:00,Fulfilled,Medium,0.803,0.429,96,0,
P00049,M00169,C0049,I will send the revised analysis by end of week.,Dependency,E004,D004,2026-04-12 15:00:00,2026-04-16 15:00:00,2026-04-17 05:00:00,Fulfilled,Low,0.835,0.528,48,1,
P00050,M00180,C0060,No action is required until finance validates the forecast.,Deliverable,E009,D001,2026-05-04 23:00:00,2026-05-07 23:00:00,2026-05-09 03:00:00,Fulfilled,Critical,0.793,0.231,72,0,
P00051,M00011,C0011,The customer expects an update by end of day.,Decision,E014,D006,2026-01-25 16:00:00,2026-01-26 16:00:00,,Overdue,High,0.805,0.696,72,1,DG003
P00052,M00022,C0022,Please escalate if there is no response within 48 hours.,Approval,E019,D003,2026-02-17 00:00:00,2026-02-27 00:00:00,,Overdue,Medium,0.772,0.693,48,0,DG003
P00053,M00033,C0033,We need to reassign this because the current owner is on leave.,Follow-up,E024,D008,2026-03-11 09:00:00,2026-03-14 09:00:00,,Overdue,Low,0.984,0.565,72,1,
P00054,M00044,C0044,I completed the draft and attached it for review.,Investigation,E029,D005,2026-04-02 17:00:00,2026-04-05 17:00:00,,Reassigned,Critical,0.945,0.258,120,1,
P00055,M00055,C0055,The dependency is still blocked by vendor access.,Customer Update,E034,D002,2026-04-23 14:00:00,2026-04-26 14:00:00,2026-04-25 09:00:00,Fulfilled,High,0.911,0.156,96,1,
P00056,M00066,C0006,Can you confirm the owner and close the open action?,Dependency,E039,D007,2026-01-16 00:00:00,2026-01-17 00:00:00,,Reassigned,Medium,0.869,0.498,96,1,
P00057,M00077,C0017,We will circle back next week with a decision.,Deliverable,E004,D004,2026-02-07 06:00:00,2026-02-09 06:00:00,,Overdue,Low,0.923,0.312,48,1,
P00058,M00088,C0028,I will get legal approval before Friday.,Decision,E009,D001,2026-03-01 17:00:00,2026-03-02 17:00:00,2026-03-03 23:00:00,Fulfilled,Critical,0.849,0.284,72,1,
P00059,M00099,C0039,Let's revisit this after the quarter-end release.,Approval,E014,D006,2026-03-23 20:00:00,2026-03-24 20:00:00,2026-03-26 03:00:00,Fulfilled,High,0.751,0.119,72,0,
P00060,M00110,C0050,Engineering will complete the fix in the next sprint.,Follow-up,E019,D003,2026-04-13 13:00:00,2026-04-17 13:00:00,2026-04-19 15:00:00,Fulfilled,Medium,0.905,0.171,48,1,
P00061,M00121,C0001,I will send the revised analysis by Tuesday.,Investigation,E024,D008,2026-01-05 22:00:00,2026-01-15 22:00:00,2026-01-16 06:00:00,Fulfilled,Low,0.743,0.229,72,1,
P00062,M00132,C0012,No action is required until finance validates the forecast.,Customer Update,E029,D005,2026-01-28 09:00:00,2026-02-02 09:00:00,,Overdue,Critical,0.884,0.724,120,1,
P00063,M00143,C0023,The customer expects an update by end of day.,Dependency,E034,D002,2026-02-19 15:00:00,2026-02-21 15:00:00,,Overdue,High,0.823,0.795,96,1,
P00064,M00154,C0034,Please escalate if there is no response within 48 hours.,Deliverable,E039,D007,2026-03-12 17:00:00,2026-03-15 17:00:00,,Cancelled,Medium,0.987,0.263,96,1,
P00065,M00165,C0045,We need to reassign this because the current owner is on leave.,Decision,E004,D004,2026-04-03 22:00:00,2026-04-08 22:00:00,2026-04-08 04:00:00,Fulfilled,Low,0.976,0.205,48,1,
P00066,M00176,C0056,I completed the draft and attached it for review.,Approval,E009,D001,2026-04-26 07:00:00,2026-04-28 07:00:00,2026-04-27 11:00:00,Fulfilled,Critical,0.762,0.184,72,1,
P00067,M00007,C0007,The dependency is still blocked by vendor access.,Follow-up,E014,D006,2026-01-18 16:00:00,2026-01-19 16:00:00,2026-01-20 14:00:00,Fulfilled,High,0.842,0.436,72,1,
P00068,M00018,C0018,Can you confirm the owner and close the open action?,Investigation,E019,D003,2026-02-09 23:00:00,2026-02-12 23:00:00,2026-02-13 05:00:00,Fulfilled,Medium,0.911,0.502,48,1,
P00069,M00029,C0029,We will circle back next week with a decision.,Customer Update,E024,D008,2026-03-02 16:00:00,2026-03-06 16:00:00,2026-03-06 15:00:00,Fulfilled,Low,0.969,0.553,72,1,
P00070,M00040,C0040,I will get legal approval before July 31.,Dependency,E029,D005,2026-03-25 01:00:00,2026-04-01 01:00:00,,Overdue,Critical,0.937,0.369,120,1,
P00071,M00051,C0051,Let's revisit this after the 4.2 release.,Deliverable,E034,D002,2026-04-16 09:00:00,2026-04-17 09:00:00,2026-04-16 22:00:00,Fulfilled,High,0.965,0.576,96,1,
P00072,M00062,C0002,Engineering will complete the fix in the next sprint.,Decision,E039,D007,2026-01-08 16:00:00,2026-01-09 16:00:00,2026-01-10 01:00:00,Fulfilled,Medium,0.881,0.575,96,1,
P00073,M00073,C0013,I will send the revised analysis by Friday.,Approval,E004,D004,2026-01-29 16:00:00,2026-02-01 16:00:00,2026-02-02 21:00:00,Fulfilled,Low,0.906,0.5,48,1,
P00074,M00084,C0024,No action is required until finance validates the forecast.,Follow-up,E009,D001,2026-02-20 19:00:00,2026-02-23 19:00:00,2026-02-25 04:00:00,Fulfilled,Critical,0.838,0.439,72,1,
P00075,M00095,C0035,The customer expects an update by end of day.,Investigation,E014,D006,2026-03-15 08:00:00,2026-03-19 08:00:00,,Overdue,High,0.883,0.266,72,1,
P00076,M00106,C0046,Please escalate if there is no response within 48 hours.,Customer Update,E019,D003,2026-04-06 14:00:00,2026-04-08 14:00:00,,Reassigned,Medium,0.946,0.425,48,1,DG004
P00077,M00117,C0057,We need to reassign this because the current owner is on leave.,Dependency,E024,D008,2026-04-28 18:00:00,2026-04-29 18:00:00,,Reassigned,Low,0.902,0.242,72,1,DG004
P00078,M00128,C0008,I completed the draft and attached it for review.,Deliverable,E029,D005,2026-01-19 14:00:00,2026-01-20 14:00:00,,Overdue,Critical,0.767,0.561,120,0,
P00079,M00139,C0019,The dependency is still blocked by vendor access.,Decision,E034,D002,2026-02-11 01:00:00,2026-02-15 01:00:00,,Reassigned,High,0.769,0.431,96,0,
P00080,M00150,C0030,Can you confirm the owner and close the open action?,Approval,E039,D007,2026-03-05 06:00:00,2026-03-12 06:00:00,,Escalated,Medium,0.982,0.532,96,1,
P00081,M00161,C0041,We will circle back next week with a decision.,Follow-up,E004,D004,2026-03-27 18:00:00,2026-03-31 18:00:00,2026-03-31 01:00:00,Fulfilled,Low,0.952,0.278,48,1,
P00082,M00172,C0052,I will get legal approval before Wednesday.,Investigation,E009,D001,2026-04-17 13:00:00,2026-04-24 13:00:00,2026-04-25 10:00:00,Fulfilled,Critical,0.94,0.41,72,1,
P00083,M00003,C0003,Let's revisit this after the security release.,Customer Update,E014,D006,2026-01-09 20:00:00,2026-01-13 20:00:00,2026-01-13 22:00:00,Fulfilled,High,0.807,0.662,72,0,
P00084,M00014,C0014,Engineering will complete the fix in the next sprint.,Dependency,E019,D003,2026-02-01 10:00:00,2026-02-05 10:00:00,,Cancelled,Medium,0.943,0.081,48,1,
P00085,M00025,C0025,I will send the revised analysis by July 31.,Deliverable,E024,D008,2026-02-23 15:00:00,2026-03-05 15:00:00,2026-03-06 13:00:00,Fulfilled,Low,0.735,0.391,72,0,
P00086,M00036,C0036,No action is required until finance validates the forecast.,Decision,E029,D005,2026-03-17 18:00:00,2026-03-22 18:00:00,,Overdue,Critical,0.889,0.706,120,1,
P00087,M00047,C0047,The customer expects an update by end of day.,Approval,E034,D002,2026-04-07 18:00:00,2026-04-09 18:00:00,2026-04-09 04:00:00,Fulfilled,High,0.97,0.343,96,1,
P00088,M00058,C0058,Please escalate if there is no response within 48 hours.,Follow-up,E039,D007,2026-04-29 23:00:00,2026-05-06 23:00:00,2026-05-05 20:00:00,Fulfilled,Medium,0.983,0.445,96,1,
P00089,M00069,C0009,We need to reassign this because the current owner is on leave.,Investigation,E004,D004,2026-01-22 09:00:00,2026-01-24 09:00:00,,Overdue,Low,0.804,0.258,48,0,
P00090,M00080,C0020,I completed the draft and attached it for review.,Customer Update,E009,D001,2026-02-13 20:00:00,2026-02-17 20:00:00,2026-02-17 04:00:00,Fulfilled,Critical,0.845,0.15,72,1,
P00091,M00091,C0031,The dependency is still blocked by vendor access.,Dependency,E014,D006,2026-03-06 11:00:00,2026-03-16 11:00:00,2026-03-16 18:00:00,Fulfilled,High,0.857,0.244,72,1,
P00092,M00102,C0042,Can you confirm the owner and close the open action?,Deliverable,E019,D003,2026-03-28 23:00:00,2026-04-07 23:00:00,2026-04-09 05:00:00,Fulfilled,Medium,0.786,0.411,48,0,
P00093,M00113,C0053,We will circle back next week with a decision.,Decision,E024,D008,2026-04-20 05:00:00,2026-04-24 05:00:00,2026-04-26 03:00:00,Fulfilled,Low,0.857,0.608,72,1,
P00094,M00124,C0004,I will get legal approval before end of week.,Approval,E029,D005,2026-01-12 15:00:00,2026-01-22 15:00:00,2026-01-23 14:00:00,Fulfilled,Critical,0.812,0.553,120,0,
P00095,M00135,C0015,Let's revisit this after the production release.,Follow-up,E034,D002,2026-02-03 19:00:00,2026-02-06 19:00:00,,Escalated,High,0.796,0.429,96,0,
P00096,M00146,C0026,Engineering will complete the fix in the next sprint.,Investigation,E039,D007,2026-02-24 18:00:00,2026-03-01 18:00:00,2026-03-03 02:00:00,Fulfilled,Medium,0.954,0.348,96,1,
P00097,M00157,C0037,I will send the revised analysis by Wednesday.,Customer Update,E004,D004,2026-07-01 09:00:00,2026-07-06 09:00:00,,In Progress,Low,0.926,0.157,48,1,
P00098,M00168,C0048,No action is required until finance validates the forecast.,Dependency,E009,D001,2026-07-01 10:00:00,2026-07-11 10:00:00,,Open,Critical,0.985,0.643,72,1,
P00099,M00179,C0059,The customer expects an update by end of day.,Deliverable,E014,D006,2026-07-02 11:00:00,2026-07-06 11:00:00,,Open,High,0.732,0.415,72,0,
P00100,M00010,C0010,Please escalate if there is no response within 48 hours.,Decision,E019,D003,2026-07-02 12:00:00,2026-07-12 12:00:00,,In Progress,Medium,0.823,0.555,48,1,
P00101,M00021,C0021,We need to reassign this because the current owner is on leave.,Approval,E024,D008,2026-07-03 13:00:00,2026-07-17 13:00:00,,Open,Low,0.985,0.157,72,1,DG005
P00102,M00032,C0032,I completed the draft and attached it for review.,Follow-up,E029,D005,2026-07-03 14:00:00,2026-07-13 14:00:00,,Open,Critical,0.81,0.577,120,0,DG005
P00103,M00043,C0043,The dependency is still blocked by vendor access.,Investigation,E034,D002,2026-07-04 09:00:00,2026-07-14 09:00:00,,In Progress,High,0.966,0.678,96,1,
P00104,M00054,C0054,Can you confirm the owner and close the open action?,Customer Update,E039,D007,2026-07-04 10:00:00,2026-07-11 10:00:00,,Open,Medium,0.74,0.136,96,0,
P00105,M00065,C0005,We will circle back next week with a decision.,Dependency,E004,D004,2026-07-05 11:00:00,2026-07-15 11:00:00,,Open,Low,0.895,0.334,48,1,
P00106,M00076,C0016,I will get legal approval before Tuesday.,Deliverable,E009,D001,2026-07-05 12:00:00,2026-07-09 12:00:00,,In Progress,Critical,0.864,0.091,72,1,
P00107,M00087,C0027,Let's revisit this after the pilot release.,Decision,E014,D006,2026-07-06 13:00:00,2026-07-10 13:00:00,,Open,High,0.925,0.188,72,1,
P00108,M00098,C0038,Engineering will complete the fix in the next sprint.,Approval,E019,D003,2026-07-06 14:00:00,2026-07-09 14:00:00,,Open,Medium,0.783,0.285,48,0,
P00109,M00109,C0049,I will send the revised analysis by end of week.,Follow-up,E024,D008,2026-07-07 09:00:00,2026-07-21 09:00:00,,In Progress,Low,0.922,0.372,72,1,
P00110,M00120,C0060,No action is required until finance validates the forecast.,Investigation,E029,D005,2026-07-07 10:00:00,2026-07-10 10:00:00,,Open,Critical,0.91,0.68,120,1,
P00111,M00131,C0011,The customer expects an update by end of day.,Customer Update,E034,D002,2026-07-08 11:00:00,2026-07-11 11:00:00,,Open,High,0.964,0.126,96,1,
P00112,M00142,C0022,Please escalate if there is no response within 48 hours.,Dependency,E039,D007,2026-07-08 12:00:00,2026-07-22 12:00:00,,In Progress,Medium,0.821,0.553,96,1,
P00113,M00153,C0033,We need to reassign this because the current owner is on leave.,Deliverable,E004,D004,2026-07-09 13:00:00,2026-07-16 13:00:00,,Open,Low,0.766,0.543,48,0,
P00114,M00164,C0044,I completed the draft and attached it for review.,Decision,E009,D001,2026-07-09 14:00:00,2026-07-23 14:00:00,,Open,Critical,0.854,0.523,72,1,
P00115,M00175,C0055,The dependency is still blocked by vendor access.,Approval,E014,D006,2026-07-10 09:00:00,2026-07-17 09:00:00,,In Progress,High,0.844,0.103,72,1,
P00116,M00006,C0006,Can you confirm the owner and close the open action?,Follow-up,E019,D003,2026-07-10 10:00:00,2026-07-14 10:00:00,,Open,Medium,0.903,0.606,48,1,
P00117,M00017,C0017,We will circle back next week with a decision.,Investigation,E024,D008,2026-07-11 11:00:00,2026-07-18 11:00:00,,Open,Low,0.987,0.159,72,1,
P00118,M00028,C0028,I will get legal approval before Friday.,Customer Update,E029,D005,2026-07-11 12:00:00,2026-07-16 12:00:00,,In Progress,Critical,0.843,0.173,120,1,
P00119,M00039,C0039,Let's revisit this after the quarter-end release.,Dependency,E034,D002,2026-07-12 13:00:00,2026-07-15 13:00:00,,Open,High,0.749,0.579,96,0,
P00120,M00050,C0050,Engineering will complete the fix in the next sprint.,Deliverable,E039,D007,2026-07-12 14:00:00,2026-07-26 14:00:00,,Open,Medium,0.726,0.455,96,0,
